development_name,borough,development_acc_unit_count,inspection_date,raw_score,h_s_score,smoke_detectors,reac_date_2,second_score,second_h_s_score,second_smoke_detectors,reac_date_3,third_score,third_h_s_score,third_smoke_detectors,latitude,longitude
Pelham Parkway,Bronx,1501,2023-03-21T00:00:00Z,23,C,Yes,2019-02-04T00:00:00Z,25,C,Yes,2016-12-05T00:00:00Z,86,,No,40.862001,-73.865947
Sedgewick,Bronx,934,2023-03-01T00:00:00Z,19,C,No,2019-02-11T00:00:00Z,74,C,Yes,2017-03-20T00:00:00Z,83,,No,40.848698,-73.90475
Parkside,Bronx,1612,2022-11-28T00:00:00Z,63,C,Yes,2018-07-31T00:00:00Z,75,C,No,2015-12-14T00:00:00Z,86,,No,40.877073,-73.865932
Baruch,New York,2391,2023-01-30T00:00:00Z,12,C,Yes,2019-09-09T00:00:00Z,16,C,Yes,2017-01-25T00:00:00Z,75,,No,40.717106,-73.979164
George Washington,New York,1961,2022-06-27T00:00:00Z,43,C,Yes,2018-09-25T00:00:00Z,46,,No,2017-01-24T00:00:00Z,52,,No,40.787795,-73.950467
Throggs Neck,Bronx,1724,2023-03-20T00:00:00Z,37,C,Yes,2019-07-22T00:00:00Z,15,C,Yes,2017-02-14T00:00:00Z,73,,No,40.821567,-73.825754
Jefferson,New York,1664,2022-12-29T00:00:00Z,12,C,Yes,2018-10-16T00:00:00Z,65,C,No,2017-02-14T00:00:00Z,71,,No,40.79743,-73.937086
Justice Sonia Sotomayor Houses,Bronx,1724,2023-02-23T00:00:00Z,58,C,Yes,2019-09-09T00:00:00Z,47,C,Yes,2017-04-10T00:00:00Z,51,,No,40.835055,-73.850952
Cypress Hills,Brooklyn,1509,2022-09-30T00:00:00Z,17,C,No,2018-09-24T00:00:00Z,70,,No,2015-11-09T00:00:00Z,63,,No,40.67259,-73.872449
Sumner,Brooklyn,1418,2022-12-14T00:00:00Z,10,C,Yes,2018-07-24T00:00:00Z,73,C,No,2017-03-27T00:00:00Z,66,,No,40.696112,-73.939525
Sen. Robert F. Wagner Sr.,New York,2162,2023-03-13T00:00:00Z,63,C,Yes,2019-08-12T00:00:00Z,40,C,Yes,2017-03-21T00:00:00Z,76,,No,40.799801,-73.931412
Hammel,Queens,885,2023-03-07T00:00:00Z,31,C,Yes,2019-02-04T00:00:00Z,35,C,Yes,2017-02-15T00:00:00Z,85,,No,40.591077,-73.800062
La Guardia,New York,1494,2023-03-13T00:00:00Z,38,C,Yes,2019-09-09T00:00:00Z,51,C,Yes,2017-03-13T00:00:00Z,72,,No,40.710882,-73.986213
Frederick Douglass & Add.,New York,2351,2023-03-23T00:00:00Z,14,C,No,2019-08-12T00:00:00Z,9,C,Yes,2017-05-10T00:00:00Z,36,,No,40.797677,-73.964919
Mill Brook & Extension,Bronx,1378,2022-12-05T00:00:00Z,22,C,Yes,2018-08-29T00:00:00Z,70,C,No,2017-02-01T00:00:00Z,56,,No,40.80509,-73.917
Hylan,Bronx,209,2022-01-14T00:00:00Z,37,C,Yes,2018-08-28T00:00:00Z,57,,No,2015-09-28T00:00:00Z,89,,No,40.704334,-73.940057
Baisley Park,Queens,916,2022-12-06T00:00:00Z,64,C,Yes,2019-07-15T00:00:00Z,60,C,Yes,2017-02-07T00:00:00Z,63,,No,40.706249,-73.788444
