development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
HUGHES APARTMENTS,236584942.21,513,461179.2245808967,Apartments,97766184.74,Heating,52728207.04,Building Exterior/Facade/Window,32572983.05
HUNTS POINT AVENUE REHAB,91231032.47,131,696420.0951908397,Building Exterior/Facade/Window,29853447.54,Apartments,28602022.84,Heating,7022647.13
HYLAN,89518353.71000001,209,428317.48186602874,Apartments,40783196.81,Heating,14907643.41,Building Exterior/Facade/Window,12242793.14
INGERSOLL,917327640.07,1840,498547.63047282613,Apartments,319899097.05,Building Exterior/Facade/Window,124396396.11,Plumbing,121577054.17
INTERNATIONAL TOWER,58145941.79,159,365697.74710691825,Apartments,23079160.79,Heating,11161196.42,Common Areas/Lobbies,7426334.05
ISAACS,248154274.86,636,390179.6774528302,Apartments,117377598.73,Heating,46713832.48,Building Exterior/Facade/Window,32201856.71
JACKSON,396532298.40000004,868,456834.44516129035,Apartments,178503214.65,Heating,63754335.11,Building Exterior/Facade/Window,57631490.28
JEFFERSON,895653639.26,1493,599901.9686939049,Apartments,293961321.75,Heating,191306858.24,Plumbing,109596734.81
JOHNSON,643158827.33,1310,490960.9368931298,Apartments,251465172.14000002,Heating,101650342.91,Plumbing,69600692.17
KING TOWERS,780164645.86,1379,565746.6612472807,Heating,275423481.01,Apartments,223720580.18,Building Exterior/Facade/Window,88993804.74
KINGSBOROUGH,565994349.67,1165,485832.0598025751,Apartments,173685480.75,Heating,88333438.42,Building Exterior/Facade/Window,86136692.93
KINGSBOROUGH EXTENSION,72432878.59,184,393656.9488586957,Apartments,29253328.91,Heating,18467303.28,Building Exterior/Facade/Window,8181051.8100000005
LA GUARDIA,511252949.62,1094,467324.4512065814,Apartments,175127417.32999998,Heating,112964984.8,Building Exterior/Facade/Window,81608121.25
LA GUARDIA ADDITION,59336760.25,150,395578.4016666667,Apartments,22500991.7,Heating,15488800.48,Building Exterior/Facade/Window,7715064.41
LAFAYETTE,389352502.16,882,441442.74621315196,Apartments,176753100.27,Heating,62452960.98,Building Exterior/Facade/Window,58932529.150000006
LATIMER GARDENS,171950642.35999998,423,406502.7006146572,Apartments,77368127.82,Heating,30201602.1,Building Exterior/Facade/Window,24012016.27
LEAVITT STREET-34TH AVENUE,31646187.39,83,381279.3661445783,Apartments,13123695.98,Heating,3998161.58,Building Exterior/Facade/Window,3854396.1500000004
LEHMAN VILLAGE,283759881.11,622,456205.5966398714,Apartments,123473187.21,Heating,49611046.73,Building Exterior/Facade/Window,40157033.67
LENOX ROAD-ROCKAWAY PARKWAY,38432788.96,74,519362.012972973,Apartments,15521625.86,Heating,6290335.55,Building Exterior/Facade/Window,4052011.6900000004
LEXINGTON,212552760.41,448,474448.12591517856,Apartments,72326019.29,Heating,46858275.69,Plumbing,22101089.27
LINCOLN,621474590.6,1286,483261.734525661,Apartments,247797358.33,Heating,99778463.05000001,Plumbing,69495827.69
LONG ISLAND BAPTIST HOUSES,97162569.45,232,418804.17866379314,Apartments,41146031.98,Building Exterior/Facade/Window,9265429.37,Elevators,8779882.14
LONGFELLOW AVENUE REHAB,45612400.54,75,608165.3405333334,Apartments,18743406.28,Building Exterior/Facade/Window,10479795.450000001,Heating,3866903.2800000003
LOW HOUSES,257605258.87,536,480606.82625,Apartments,108070895.78,Heating,42671175.36,Building Exterior/Facade/Window,32285028.62
LOWER EAST SIDE I INFILL,93188841.38,189,493062.6528042328,Apartments,34202123.07,Building Exterior/Facade/Window,18597975.92,Heating,9695497.4
LOWER EAST SIDE II,90740026.16,188,482659.7136170213,Apartments,38716878.36,Heating,19342876.88,Roofs,9201317.6
LOWER EAST SIDE III,34659195.1,56,618914.1982142858,Apartments,12393058.64,Building Exterior/Facade/Window,9832315.18,Roofs,2883767.72
LOWER EAST SIDE REHAB (GROUP 5),28138309.09,55,511605.6198181818,Apartments,11034522.85,Building Exterior/Facade/Window,4095975.81,Elevators,2427840.5
MANHATTANVILLE,554583841.4,1272,435993.5860062893,Apartments,239479887.45,Heating,131768721.7,Building Exterior/Facade/Window,53449962.68
MARBLE HILL,661024751.18,1682,392999.2575386444,Apartments,278007002.45,Building Exterior/Facade/Window,90387755.43,Heating,74786994.48
MARCY,1071881845.1,1717,624275.9726849155,Apartments,264416927.72,Plumbing,192319313.29,Heating,189120699.93
MARINER'S HARBOR,384983887.15999997,607,634240.3412850082,Apartments,119425097.49,Heating,91588320.71,Building Exterior/Facade/Window,36830723.91
MARLBORO,950352060.35,1765,538443.0936827195,Apartments,332670436.32,Heating,159789888.4,Plumbing,151055010.72
MCKINLEY,290131834.05,619,468710.555815832,Apartments,122096505.72,Heating,56652556.56,Building Exterior/Facade/Window,42616067.62
MELROSE,507271042.8,1023,495866.1219941349,Apartments,190976296.99,Heating,105560005.8,Plumbing,54451770.55
MELTZER TOWER,80174253.28,231,347074.68952380953,Apartments,26776579.16,Heating,23722513.57,Building Exterior/Facade/Window,10205332.15
METRO NORTH PLAZA,130216964.19,275,473516.23341818183,Apartments,56167922.76,Building Exterior/Facade/Window,17647156.529999997,Heating,17567502.16
MIDDLETOWN PLAZA,60424934.38999999,179,337569.46586592175,Apartments,30124306.439999998,Heating,8557202.29,Common Areas/Lobbies,4994636.46
MILL BROOK,529724713.12,1255,422091.404876494,Apartments,264578866.31,Heating,89074779.07,Common Areas/Lobbies,32458588.759999998
